Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 12:37:22 PM,21.1631,117.1812,← 269°,460,529,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:37:57 PM,21.1624,117.103,← 269°,460,529,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:38:38 PM,21.1608,117.0104,← 269°,460,529,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:39:08 PM,21.1598,116.943,← 269°,461,531,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:40:58 PM,21.2172,116.7407,← 287°,,,, Level, Estimated
Mon 12:41:27 PM,21.1551,116.6256,← 269°,460,529,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:41:58 PM,21.154,116.5556,← 269°,459,528,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:42:58 PM,21.1517,116.4189,← 269°,461,531,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:43:28 PM,21.1505,116.3508,← 269°,461,531,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:43:58 PM,21.1494,116.2827,← 269°,461,531,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:44:28 PM,21.1481,116.2138,← 269°,461,531,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:44:58 PM,21.1469,116.1452,← 269°,460,529,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:45:28 PM,21.1456,116.0761,← 269°,460,529,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:45:58 PM,21.1442,116.0078,← 269°,460,529,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:46:30 PM,21.1428,115.9361,← 269°,460,529,"32,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:47:00 PM,21.1415,115.868,← 269°,460,529,"32,000",162 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 12:47:35 PM,21.1398,115.7881,← 269°,460,529,"32,175",715 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 12:48:05 PM,21.1384,115.719,← 269°,459,528,"32,775","1,150 Climbing", FlightAware ADS-B (HKG / VHHH)
Mon 12:48:35 PM,21.137,115.6538,← 269°,458,527,"33,325","1,175 Climbing", FlightAware ADS-B (HKG / VHHH)
Mon 12:49:05 PM,21.1355,115.5845,← 269°,456,525,"33,950","1,205 Climbing", FlightAware ADS-B (HKG / VHHH)
Mon 12:49:36 PM,21.134,115.5146,← 269°,454,522,"34,550","1,093 Climbing", FlightAware ADS-B (HKG / VHHH)
Mon 12:50:15 PM,21.1319,115.4254,← 269°,453,521,"35,225",978 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 12:50:45 PM,21.1304,115.3582,← 269°,453,521,"35,675",738 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 12:51:16 PM,21.1287,115.2895,← 269°,451,519,"35,975",279 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 12:51:55 PM,21.1267,115.2034,← 269°,447,514,"36,000",21 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 12:52:27 PM,21.125,115.133,← 269°,447,514,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:52:57 PM,21.1233,115.0664,← 269°,447,514,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:53:27 PM,21.1216,114.9999,← 269°,447,514,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:53:58 PM,21.1199,114.9331,← 269°,447,514,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:54:28 PM,21.1181,114.8657,← 269°,448,516,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
